h,distance,angle,situation_DirectFreekick,situation_FromCorner,situation_OpenPlay,situation_SetPiece,shotType_Head,shotType_LeftFoot,shotType_OtherBodyPart,shotType_RightFoot
1.0,0.20847060569471418,0.38861176252375473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.2610938670296814,0.44860690401452863,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.17976931807443597,0.44456783485841156,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.2871167037489378,0.2955155327342516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.20961866797094958,0.541075515980576,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.2668651518029782,0.43814895449680735,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.1993790473359777,0.5721087875357423,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.323692735428206,0.33762591225982475,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.28213648910013484,0.3058750988488489,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.2417788329420886,0.45561667987691323,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.15890248438031884,0.4033855438650171,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.2731903886749248,0.36618764926081143,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.2978808917936876,0.2981257546065147,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.08683315932634288,1.2060924130284831,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1.0,0.2551803106359889,0.45530982368009104,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.21533693641663965,0.12006512392694235,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.06900726103241452,1.4313685217290817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.024698212050024215,2.396172236226364,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.4617282795157931,0.24247027667995666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0652150405245685,1.4285613572720386,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.3115156358128694,0.2883848170144031,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.19226020982317416,0.6043655161396635,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.35109112539698384,0.2700135202964218,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.03573514659134282,2.0883834171025066,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
